SKU	KEYWORDS	DESCRIPTION	CONSUMABLE	AVAILABILITY	PRICE	LINK	NAME	IMAGE	LOCATION	DATASHEET
UkYyNGwwMQ==	Tools	* Model:NRF24L01;  * nRF24L01 is a single chip radio transceiver for  the world wide 2.4 - 2.5 GHz ISM band.  * The transceiver consists of a fully integrated  frequency synthesizer, a power amplifier, a  crystal oscillator, a demodulator, modulator and  Enhanced ShockBurst? protocol engine.  * Output power, frequency channels, and  protocol setup are easily.  * programmable through a SPI interface. Current  consumption is very low, only 9.0mA at an output  power of -6dBm and 12.3mA in RX mode.  * Built-in Power Down and Standby modes  makes power saving easily realizable.  * Maximum operating speeds up to 2Mbps, GFSK modulation efficiency, Anti-interference ability,  Particularly suitable for industrial control  applications.  * 125 Communications channels, Multi-point  communication and frequency hopping to meet  the communication needs.  * Built-in hardware CRC error detection,  Multipoint communication address control.  * Low-power 1.9 ~ 3.6V, only 1uA on Power down mode.  * Built-in 2.4Ghz antenna.  * Available software to set the address, only  received local Address when output data(Provide  interrupt instruction), can be directly connected  to a variety of microcontrollers, Software  programming is very convenient.  * Support 6 Data channels of data reception.  * Standard DIP Pitch Interface for embedded applications.	0	2	11.98	https://www.amazon.com/Makerfire-Arduino-NRF24L01-Wireless-Transceiver/dp/B00O9O868G/ref=sr_1_1?ie=UTF8&qid=1512691609&sr=8-1&keywords=rf24l01	RF24l01	../cap/images/WirelessRFTransceiver.jpg		
QXJlcyA3MDAwNSBDcmltcGVy	Tools		0	2	24.64	https://www.amazon.com/dp/B017JX8W2I/ref=sspa_dk_detail_4?psc=1&pd_rd_i=B017JX8W2I&pd_rd_wg=ymCcl&pd_rd_r=Y2TC235GFSXB1ZYWX48M&pd_rd_w=Y0d4f	Ares 70005 Crimper	../cap/images/wireTerminalCrimper.jpg		
VXhjZWxsIERDIE1vdG9ycyAxMDAwUlBN	DC Motors	No-load Speed: 800-1000RPM at 24V | Torque: 1.5Ncm | Power: 1.32W | No-load Current: 0.08A | Load Current: 0.4A | Reduction Ratio: 1: 9 | Mounting Screw Size: M3 (not included)	0	3	14.46	https://www.amazon.com/uxcell-1000RPM-Premium-Reduction-Electric/dp/B01KTZXXJA/ref=pd_ybh_a_103?_encoding=UTF8&refRID=S9FW6EVJNSKW2RY8MEBF&th=1	Uxcell DC Motors 1000RPM	../cap/images/dcMotor10K.jpg		
NTUwUlBNIERDIE1vdG9y	DC Motors	No-load Speed: 550RPM at 12V | Torque: 3Ncm | Power: 7.2W | No-load Current: 0.15A | Load Current: 0.6A | Reduction Ratio: 1: 9 | Mounting Screw Size: M3 (not included).	0	3	14.46	https://www.amazon.com/uxcell-1000RPM-Premium-Reduction-Electric/dp/B01KTZXZDE/ref=pd_ybh_a_103?_encoding=UTF8&refRID=S9FW6EVJNSKW2RY8MEBF&th=1	550RPM DC Motor	../cap/images/dcMotor50.jpg		
REMgTW90b3IgU21hbGw=	Actuator	Voltage:DC 0.5-6V;Rated Speed:15000 RPM Motor Body Diameter:27mm/1.06";Mounting Hole Distance(center to center):15mm/0.59" Shaft Size:10x2.0mm/0.39"x0.08"(L*D);Motor Body Length;38mm/1.46"	0	10	7.99	https://www.amazon.com/dp/B01I6MDXV6/ref=psdc_2528073011_t1_B073Q2Y3RC	DC Motor Small	../cap/images/dcMotorSmall.jpg		
Rm9yY2UgU2Vuc29y	Sensing		0	21	13.29	https://www.amazon.com/Adafruit-Round-Force-Sensitive-Resistor-FSR/dp/B00XW2MIRQ/ref=sr_1_1?rps=1&ie=UTF8&qid=1508769897&sr=8-1&keywords=force+resistive+sensor&refinements=p_85%3A2470955011	Force Sensor	../cap/images/forceSensor.jpg		
NTBSUE0gREMgTW90b3I=	DC Motors	No-load Speed: 50RPM at 12V | Torque: 39Ncm | Power: 7.2W | No-load Current: 0.15A | Load Current: 0.6A | Reduction Ratio: 1: 95 | Mounting Screw Size: M3 (not included)	0	3	13.99	https://www.amazon.com/uxcell-1000RPM-Premium-Reduction-Electric/dp/B0771JLC2N/ref=pd_ybh_a_103?_encoding=UTF8&refRID=S9FW6EVJNSKW2RY8MEBF&th=1	50RPM DC Motor	../cap/images/dcMotor50.jpg		
QXN0cm9BSSBNdWx0aW1ldGVy	Tools	Low end	0	5	13.99	https://www.amazon.com/AstroAI-Digital-Multimeter-Voltage-Tester/dp/B01ISAMUA6/ref=sr_1_3?ie=UTF8&qid=1512657915&sr=8-3&keywords=multimeter	AstroAI Multimeter	../cap/images/astroMultiMeter.jpg		
SW5sYW5kIFVubyBSMyBNYWluQm9hcmQ=	MicroController	The UNO is the best board to get started with electronics and coding. If this is your first experience tinkering with the platform, the UNO is the most robust board you can start playing with. The UNO is the most used and documented board of the whole Arduino family.	0	1	7.99	https://www.microcenter.com/product/486544/inland-uno-r3-mainboard	Inland Uno R3 MainBoard	../cap/images/arduinoUnoR3.jpg	Demo Table	../cap/datasheets/arduino uno r3.pdf
Q29yayBTaGVldA==	Tools		0	10	10.36	https://www.amazon.com/Quartet-Tiles-Board-Bulletin-102/dp/B0018DHBAK/ref=sr_1_12?s=office-products&ie=UTF8&qid=1512931953&sr=1-12&keywords=cork+board	Cork Sheet	../cap/images/corkSheet.jpg		
